Exposure;SingleFamilyDetached;MultiFamily
N;0,0306;0,0188
NE;0,0146;0,0299
E;0,0215;0,0389
SE;0,0257;0,0375
S;0,0326;0,0368
SW;0,0403;0,0424
W;0,0389;0,0451
NW;0,0319;0,0396
H;0,0403;0,0507
