Type;ID;DrapesLightOpen;DrapesDarkClosed;DrapesLightClosed;RollerOpaqueDark;RollerOpqaueWhite;RollerTranslucentLight;BlindsMedium;BlindsDark
clear_1Layer;1a;0,0444;0,0493;0,0313;0,0444;0,0236;0,0306;0,0514;0,0458
HeatAbsorbing_1Layer;1c;0,0472;0,0500;0,0347;0,0465;0,0278;0,0340;0,0528;0,0479
Clear_2Layer;5a;0,0500;0,0563;0,0396;0,0528;0,0333;0,0382;0,0569;0,0514
lowEpsillonHighSolar_2Layers;17c;0,0528;0,0597;0,0444;0,0569;0,0396;0,0431;0,0597;0,0549
lowEpsillonLowSolar_2Layers;25a;0,0549;0,0611;0,0472;0,0590;0,0417;0,0458;0,0611;0,0569
HeatAbsorbing_2Layers;5c;0,0507;0,0569;0,0410;0,0535;0,0354;0,0403;0,0576;0,0528
