Loads;Heating;Cooling
Q_opaque;2407.28367694;1071.44121901
Q_windows;847.4904;1285.21726092
Q_below;0.0;0.0
Q_internalGain;0.0;540.8
Q_infiltVentilation;2294.7427104;427.3497732
Q_distribLosses;887.0;897.0
Q_sensible_tot;6436.51678734;4221.80825313
Q_latent;0.0;610.200308641
