Duct Location;Conditioning_Type;Duct_factors
Conditioned space;a;0.0
Attic;C;0.63
Attic;H/F;0.25
Attic;H/HP;0.34
Basement;C;0.09
Basement;H/F;0.16
Basement;H/HP;0.16
Crawlspace;C;0.11
Crawlspace;H/F;0.25
Crawlspace;H/HP;0.34
