Duct Location;Conditioning_Type;Duct_factors
Conditioned space;a;0.0
Attic;C;0.53
Attic;H/F;0.27
Attic;H/HP;0.28
Basement;C;0.06
Basement;H/F;0.16
Basement;H/HP;0.12
Crawlspace;C;0.08
Crawlspace;H/F;0.27
Crawlspace;H/HP;0.28
