m;-40;-30;-20;-10;0
2.5;0.1;0.095;0.086;0.077;0.069
3;0.11;0.1;0.093;0.083;0.072
4;0.14;0.12;0.11;0.093;0.079
5;0.16;0.14;0.12;0.1;0.086
6;0.18;0.16;0.14;0.11;0.093
7;0.2;0.17;0.15;0.12;0.1
8;0.22;0.19;0.16;0.14;0.11
