Duct Location;Conditioning_Type;Duct_factors
Conditioned space;a;0.0
Attic;C;0.25
Attic;H/F;0.12
Attic;H/HP;0.15
Basement;C;0.04
Basement;H/F;0.08
Basement;H/HP;0.07
Crawlspace;C;0.05
Crawlspace;H/F;0.12
Crawlspace;H/HP;0.15
