Material;ID;white;light;medium;dark
asphalt shingles;asphalt;0.75;0.75;0.85;0.92
tile;tile;0.3;0.4;0.80;0.80
metal;metal;0.35;0.5;0.70;0.90
elastomeric coating;coating;0.3;;;
