m;10;30;35;40
2.5;0.06;0.031;0.035;0.04
3;0.061;0.032;0.038;0.043
4;0.065;0.034;0.042;0.049
5;0.069;0.036;0.046;0.055
6;0.072;0.039;0.05;0.061
7;0.075;0.041;0.051;0.068
8;0.079;0.043;0.058;0.074
